i,j,k,Real,Estimate - LASSO,Estimate - MLE,Estimate - Ada. LASSO
1,2,3,0.0,0.0,-0.0,0.0
1,2,4,0.0,0.0,-0.0,0.0
1,2,5,0.0,0.0,-0.0,0.0
1,2,6,0.0,0.0,-0.0,0.0
1,2,7,0.0,0.0,0.0,0.0
1,2,8,0.0,0.0,0.0,0.0
1,2,9,0.0,0.0,0.0,0.0
1,2,10,0.0,0.0,-0.0,0.0
1,2,11,0.0,0.0,0.0,0.0
1,2,12,0.0,0.0,-0.0,0.0
1,3,4,0.0,0.0,-0.0,0.0
1,3,5,0.0,0.0,0.0,0.0
1,3,6,0.0,0.0,-0.0,0.0
1,3,7,0.0,0.0,-0.0,0.0
1,3,8,0.0,0.0,0.0,0.0
1,3,9,0.0,0.0,-0.0,0.0
1,3,10,0.0,0.0,0.0,0.0
1,3,11,0.0,0.0,-0.0,0.0
1,3,12,0.0,0.0,0.0,0.0
1,4,5,0.0,0.0,0.0,0.0
1,4,6,0.0,0.0,0.0,0.0
1,4,7,0.0,0.0,-0.0,0.0
1,4,8,0.0,0.0,0.0,0.0
1,4,9,0.0,0.0,-0.0,0.0
1,4,10,0.0,0.0,0.0,0.0
1,4,11,0.0,0.0,0.0,0.0
1,4,12,0.0,0.0,0.0,0.0
1,5,6,0.0,0.0,-0.0,0.0
1,5,7,0.0,0.0,-0.0,0.0
1,5,8,0.0,0.0,-0.0,0.0
1,5,9,0.0,0.0,0.0,0.0
1,5,10,0.0,0.0,-0.0,0.0
1,5,11,0.0,0.0,0.0,0.0
1,5,12,0.0,0.0,-0.0,0.0
1,6,7,0.0,0.0,0.0,0.0
1,6,8,0.0,0.0,0.0,0.0
1,6,9,0.0,0.0,0.0,0.0
1,6,10,0.0,0.0,-0.0,0.0
1,6,11,0.0,0.0,-0.0,0.0
1,6,12,0.0,0.0,-0.0,0.0
1,7,8,0.0,0.0,0.0,0.0
1,7,9,0.0,0.0,-0.0,0.0
1,7,10,0.0,0.02073043826095338,-0.0,0.0
1,7,11,0.0,0.0,0.0,0.0
1,7,12,0.0,0.0,0.0,0.0
1,8,9,0.0,0.0,-0.0,0.0
1,8,10,0.0,0.0,-0.0,0.0
1,8,11,0.0,0.0,0.0,0.0
1,8,12,0.0,0.0,-0.0,0.0
1,9,10,0.0,0.0,0.0,0.0
1,9,11,0.0,0.0,-0.0,0.0
1,9,12,0.0,0.0,-0.0,0.0
1,10,11,0.0,0.03800184493074875,0.0,0.0
1,10,12,0.0,0.0,-0.0,0.0
1,11,12,0.0,0.0,-0.03936401473373277,0.0
2,1,3,0.0,0.0,-0.0,0.0
2,1,4,0.0,0.0,-0.0,0.0
2,1,5,0.0,0.0,-0.0,0.0
2,1,6,0.0,0.0,0.0,0.0
2,1,7,0.0,0.0,-0.0,0.0
2,1,8,0.0,0.0,-0.0,0.0
2,1,9,0.0,0.0,-0.0,0.0
2,1,10,0.0,0.0,0.043791039602099846,0.0
2,1,11,0.0,0.0,-0.0,0.0
2,1,12,0.0,0.0,0.0,0.0
2,3,4,0.0,0.0,-0.0,0.0
2,3,5,0.0,0.0,0.0,0.0
2,3,6,0.0,0.0,0.0,0.0
2,3,7,0.0,0.0,0.0,0.0
2,3,8,0.0,0.0,0.0,0.0
2,3,9,0.0,0.0,-0.0,0.0
2,3,10,0.0,0.0,-0.0,0.0
2,3,11,0.0,0.0,-0.0,0.0
2,3,12,0.0,0.0,0.0,0.0
2,4,5,0.0,0.0,-0.0,0.0
2,4,6,0.0,0.0,0.0,0.0
2,4,7,0.0,0.0,0.0,0.0
2,4,8,0.0,0.0,-0.0,0.0
2,4,9,0.0,0.0,-0.0,0.0
2,4,10,0.0,0.0,-0.0,0.0
2,4,11,0.0,0.0,0.0,0.0
2,4,12,0.0,0.0,0.0,0.0
2,5,6,0.0,0.0,-0.0,0.0
2,5,7,0.0,0.0,0.0,0.0
2,5,8,0.0,0.0,0.0,0.0
2,5,9,0.0,0.0,0.0,0.0
2,5,10,0.0,0.0,-0.0,0.0
2,5,11,0.0,0.0,-0.0,0.0
2,5,12,0.0,0.0,-0.0,0.0
2,6,7,0.0,0.0,0.0,0.0
2,6,8,0.0,0.0,-0.0,0.0
2,6,9,0.0,0.0,-0.0,0.0
2,6,10,0.0,0.0,-0.0,0.0
2,6,11,0.0,0.0,-0.0,0.0
2,6,12,0.0,0.0,-0.0,0.0
2,7,8,0.0,0.0,0.0,0.0
2,7,9,0.0,0.0,-0.0,0.0
2,7,10,0.0,0.0,-0.04640349586972421,0.0
2,7,11,0.0,0.0,0.0,0.0
2,7,12,0.0,0.0,0.0,0.0
2,8,9,0.0,0.0,0.0,0.0
2,8,10,0.0,0.0,-0.0,0.0
