i,Real,Estimate - LASSO,Estimate - MLE,Estimate - Ada. LASSO
1,1.1181287781973788,1.078926679194453,1.1702319736742126,1.119346798662103
2,1.1131581059164932,1.110041983476881,1.123985581807815,1.125277098591848
3,0.9345917054599246,0.945551052154473,0.942581764377679,0.9321890677821494
4,0.9189287732296385,0.9419875943703201,0.89852602431537,0.9359133370282222
5,1.1566403074555551,1.117395365537546,1.1565097408132794,1.1435931931705487
6,1.2315138756184474,1.22849387912323,1.2433283108057562,1.2403727837995109
7,0.9662738909394013,0.9754081209174099,1.001426737167023,0.9754081209174099
8,1.0303041632079197,1.032700222360404,1.0247875269538966,1.0263688454917068
9,1.156993501212664,1.1463035688529872,1.1515205824410917,1.1463035688529872
10,1.0175040399686155,0.9956312234292285,1.047119768276995,1.0156128038727963
11,0.9596095048910269,0.9716281787007601,0.943991031435387,0.9661282322058321
12,1.1025812082640907,1.0851420687449205,1.117901408068964,1.0966763516202824
